Department,Final Product Code,Final Product Name,Ingredient Prod Code,Ingredient Description,Pack Deliver,Weight,Recipe
HMR,28820,FOOTLONG CHEESE GRILLER + CHIPS,22585,SPAR SC CHS GRILLR F/LONG,1'S,1,1
HMR,,,26734,SOFT HOTDOG ROLLS,EACH,1,1
HMR,,,28442,GARLIC MAYO,5LT,0.02,0.02
HMR,,,26221,SPAR SC RUSTIC ST/H CHIPS,2.5KG,0.06,0.06
BUTCHERY,26665,BABALAS BRAAI WORS,28557,CHICKEN MDM,P/KG,25,25
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,25,25
BUTCHERY,,,29030,SPAR WATER,P/KG,30,30
BUTCHERY,,,30590,PARTY BRAAIWORS,P/KG,15,15
BUTCHERY,,,31923,HOG CASINGS 28/32 LONGS,P/KG,,1.357
BUTCHERY,26659,Sipho's Braaiwors.,28557,CHICKEN MDM,P/KG,40,40
BUTCHERY,,,29245,SOYA MINCE NATURAL,20KG,7,7
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,20,20
BUTCHERY,,,33696,SPAR WATER,P/KG,20,20
BUTCHERY,,,28444,SPECIAL DHANIA SAUSAGE,P/KG,0.7,0.7
BUTCHERY,,,27142,BRAAI SUPREME,3KG,3,3
BUTCHERY,,,28688,GARLIC POWDER,1KG,0.125,0.125
BUTCHERY,,,31548,BBQ SIX GUN GRILL,8KG,0.2,0.2
BUTCHERY,,,31923,HOG CASINGS 28/32 LONGS,P/KG,,1.3
BUTCHERY,32168,C/N TOM & ONION FLAV GROUND BEEF,28863,VAC CROPS 90/10,P/KG,9,9
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,2.3,2.3
BUTCHERY,,,33696,SPAR WATER,P/KG,2.7,2.7
BUTCHERY,,,32163,GROUND BEEF TOM/ONIO FLAV,1KG,1,1
BUTCHERY,32952,MZANSI RUSSIAN WORS,26707,SHEEP SKIRTS,P/KG,7,7
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,4.3,4.3
BUTCHERY,,,33696,SPAR WATER,P/KG,7.7,7.7
BUTCHERY,,,32988,MZANSI RUSSIAN GRILLER,3KG,3,3
BUTCHERY,,,31353,PORK TRIMMINGS 70%,P/KG,4.3,4.3
BUTCHERY,,,28863,VAC CROPS 90/10,P/KG,3.7,3.7
BUTCHERY,,,31923,HOG CASINGS 28/32 LONGS,P/KG,,0.429
BUTCHERY,26670,Exim Spicy Mutton Sausage.,28863,VAC CROPS 90/10,P/KG,4.5,4.5
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,3,3
BUTCHERY,,,33696,SPAR WATER,P/KG,3,3
BUTCHERY,,,26707,SHEEP SKIRTS,P/KG,4.5,4.5
BUTCHERY,,,29013,GRILL CLUB SPICY MUTTON SAUGE,1KG,1,1
BUTCHERY,,,28695,HALAAL SHEEP CASINGS,P/KG,,0.4
BUTCHERY,29708,OUKRAAL WORS,28863,VAC CROPS 90/10,P/KG,8.3,8.3
BUTCHERY,,,28760,BEEF KIDNEY FAT,P/KG,2.1,2.1
BUTCHERY,,,33696,SPAR WATER,P/KG,5.3,5.3
BUTCHERY,,,29729,OUKRAAL WORS,P/KG,1,1
BUTCHERY,,,26707,SHEEP SKIRTS,P/KG,8.3,8.3
